"Año";"Periodo";"Variación anual"
"2015";"Marzo";"2,14"
"2015";"Abril";"2,14"
"2015";"Mayo";"2,19"
"2015";"Junio";"2,15"
"2015";"Julio";"2,04"
"2015";"Agosto";"2,04"
"2015";"Septiembre";"2,1"
"2015";"Octubre";"2,12"
"2015";"Noviembre";"2,11"
"2015";"Diciembre";"2,06"
"2016";"Enero";"2,5"
"2016";"Febrero";"2,58"
"2016";"Marzo";"2,54"
"2016";"Abril";"2,27"
"2016";"Mayo";"2,52"
"2016";"Junio";"2,58"
"2016";"Julio";"2,4"
"2016";"Agosto";"2,44"
"2016";"Septiembre";"2,5"
"2016";"Octubre";"2,33"
"2016";"Noviembre";"2,4"
"2016";"Diciembre";"2,32"
"2017";"Enero";"2,28"
"2017";"Febrero";"2,21"
"2017";"Marzo";"2,26"
"2017";"Abril";"2,52"
"2017";"Mayo";"2,65"
"2017";"Junio";"2,72"
"2017";"Julio";"2,54"
"2017";"Agosto";"2,42"
"2017";"Septiembre";"2,42"
"2017";"Octubre";"2,58"
"2017";"Noviembre";"2,42"
"2017";"Diciembre";"2,28"
"2018";"Enero";"2,4"
"2018";"Febrero";"2,39"
"2018";"Marzo";"2,36"
"2018";"Abril";"2,18"
"2018";"Mayo";"2,06"
"2018";"Junio";"2,11"
"2018";"Julio";"2,19"
"2018";"Agosto";"2,17"
"2018";"Septiembre";"2,11"
"2018";"Octubre";"2,2"
"2018";"Noviembre";"2,27"
"2018";"Diciembre";"2,12"
"2019";"Enero";"2,15"
"2019";"Febrero";"2,11"
"2019";"Marzo";"1,86"
"2019";"Abril";"1,8"
"2019";"Mayo";"1,85"
"2019";"Junio";"1,64"
"2019";"Julio";"1,63"
"2019";"Agosto";"1,4"
"2019";"Septiembre";"1,45"
"2019";"Octubre";"1,14"
"2019";"Noviembre";"1,14"
"2019";"Diciembre";"1,2"
"2020";"Enero";"0,97"
"2020";"Febrero";"0,92"
"2020";"Marzo";"-1,67"
"2020";"Abril";"-5,59"
"2020";"Mayo";"-7,01"
"2020";"Junio";"-7,13"
"2020";"Julio";"-6,07"
"2020";"Agosto";"-5,5"
"2020";"Septiembre";"-5,31"
"2020";"Octubre";"-5,15"
"2020";"Noviembre";"-4,95"
"2020";"Diciembre";"-4,88"
"2021";"Enero";"-4,63"
"2021";"Febrero";"-4,96"
"2021";"Marzo";"-2,85"
"2021";"Abril";"0,78"
"2021";"Mayo";"2,28"
"2021";"Junio";"3,4"
"2021";"Julio";"2,79"
"2021";"Agosto";"2,65"
"2021";"Septiembre";"3,01"
"2021";"Octubre";"3,41"
"2021";"Noviembre";"4,05"
"2021";"Diciembre";"4,04"
"2022";"Enero";"4,09"
"2022";"Febrero";"4,45"
"2022";"Marzo";"4,83"
"2022";"Abril";"5,46"
"2022";"Mayo";"5,62"
"2022";"Junio";"4,86"
"2022";"Julio";"4,07"
"2022";"Agosto";"3,63"
"2022";"Septiembre";"3,35"
"2022";"Octubre";"2,7"
"2022";"Noviembre";"2,19"
"2022";"Diciembre";"2,07"
;;
;;
"Métrica":"Variación anual"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Índice de ocupación"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/empleo-sector-servicios-crecio-febrero-21/c08d7588-5e4c-475d-8c90-2908cf45e827"
"Titulo":"Evolución del empleo en el sector servicios"
"Subtitulo":""
